"text","emotion","thinking_pattern","cognitive_bias","confidence_level"
"I think I messed up everything again","sad","self-doubt","overgeneralization","0.32"
"I am sure I can crack this interview","happy","confident","none","0.91"
"what if i fail and everyone laughs at me","fear","overthinking","catastrophizing","0.28"
"just finished my morning run feeling great","happy","logical","none","0.85"
"I always ruin things for everyone around me","sad","self-doubt","overgeneralization","0.21"
"This is going to destroy my entire career","fear","overthinking","catastrophizing","0.19"
"I know exactly what steps to take here","neutral","confident","none","0.88"
"maybe I'm not smart enough for this job","sad","self-doubt","negative_bias","0.31"
"everything went perfectly today super happy","happy","emotional","none","0.92"
"its all my fault the project failed","sad","emotional","personalization","0.27"
"I keep thinking about what she said to me last night","neutral","overthinking","none","0.45"
"I will absolutely nail this presentation","happy","confident","none","0.94"
"what if the doctor finds something really bad","fear","overthinking","catastrophizing","0.22"
"I always make the wrong choice every single time","sad","self-doubt","overgeneralization","0.24"
"I analyzed the data and the conclusion is clear","neutral","logical","none","0.79"
"nobody ever listens to me anyway","sad","emotional","overgeneralization","0.29"
"im so excited for the trip next week omg","excitement","emotional","none","0.89"
"I think I can handle this maybe","neutral","self-doubt","none","0.48"
"this minor mistake will cost me everything I worked for","fear","overthinking","catastrophizing","0.18"
"I am confident in my abilities and my plan","neutral","confident","none","0.87"
"why does everything always go wrong for me","sad","emotional","overgeneralization","0.26"
"what if i say something stupid in the meeting","fear","overthinking","none","0.33"
"the report is done checked twice ready to submit","neutral","logical","none","0.76"
"I think people at work secretly dislike me","sad","overthinking","personalization","0.3"
"just got promoted best day ever","happy","emotional","none","0.97"
"I keep second-guessing every decision I make","neutral","self-doubt","none","0.38"
"this is all because of me I should have known better","sad","emotional","personalization","0.25"
"I know I can do this I've done harder things before","happy","confident","none","0.9"
"what if i lose my job and can't pay rent","fear","overthinking","catastrophizing","0.2"
"feeling kinda meh today not sure why","neutral","emotional","none","0.5"
"I always let people down when it matters most","sad","self-doubt","overgeneralization","0.22"
"the team delivered on time very satisfied","happy","logical","none","0.82"
"ugh why do i even bother trying anymore","sad","self-doubt","negative_bias","0.19"
"I'm pretty sure I can figure this out","neutral","confident","none","0.72"
"what if this argument means our friendship is over forever","fear","overthinking","catastrophizing","0.23"
"I have a systematic approach and I trust it","neutral","logical","none","0.84"
"I think I disappointed my parents again","sad","emotional","personalization","0.28"
"so hyped for the concert tonight I can't focus lol","excitement","emotional","none","0.88"
"nobody will ever take me seriously at work","sad","self-doubt","overgeneralization","0.21"
"I clearly thought through every scenario before deciding","neutral","logical","none","0.81"
"what if this headache is something serious","fear","overthinking","catastrophizing","0.25"
"I feel like a burden to everyone around me","sad","emotional","personalization","0.2"
"got my results back did really well super proud","happy","confident","none","0.93"
"I keep wondering if I made the right career choice","neutral","overthinking","none","0.42"
"everything is falling apart and its all because of me","sad","emotional","personalization","0.18"
"I know my worth and I won't settle for less","happy","confident","none","0.92"
"what if she never forgives me for this","fear","overthinking","catastrophizing","0.27"
"I always mess up social situations every time","sad","self-doubt","overgeneralization","0.23"
"finished the analysis results match hypothesis","neutral","logical","none","0.78"
"new product launch went incredibly well today","happy","confident","none","0.91"
"I don't think I'm cut out for leadership","sad","self-doubt","negative_bias","0.3"
"what if this business idea completely flops","fear","overthinking","catastrophizing","0.24"
"I can break this problem into manageable parts","neutral","logical","none","0.8"
"this is the happiest I've felt in months","happy","emotional","none","0.94"
"my anxiety is through the roof right now","fear","emotional","none","0.22"
"I keep replaying that conversation over and over","neutral","overthinking","none","0.4"
"I knew I'd fail that test I always do","sad","self-doubt","overgeneralization","0.21"
"the whole situation makes me so angry I can't think straight","angry","emotional","none","0.35"
"I am well-prepared and ready for any question","neutral","confident","none","0.86"
"what if I never find someone who loves me","fear","overthinking","catastrophizing","0.19"
"I think it's my fault they broke up","sad","emotional","personalization","0.26"
"this project is going exactly as planned","happy","logical","none","0.83"
"I seriously cannot do anything right","sad","self-doubt","overgeneralization","0.18"
"how dare they treat me like that after everything","angry","emotional","none","0.38"
"what if this investment ruins us financially","fear","overthinking","catastrophizing","0.21"
"I've built a solid plan with clear milestones","neutral","logical","none","0.82"
"I'm so excited to start this new chapter of my life","excitement","emotional","none","0.91"
"maybe I'm just not meant for success","sad","self-doubt","negative_bias","0.22"
"they always blame me when things go sideways","angry","emotional","personalization","0.33"
"I overthink every text message before sending it","neutral","overthinking","none","0.41"
"we crushed the sales target this quarter","happy","confident","none","0.93"
"what if my kids hate me when they grow up","fear","overthinking","catastrophizing","0.2"
"I feel so energized and ready to take on the world","happy","confident","none","0.92"
"nothing ever works out the way I plan it","sad","self-doubt","overgeneralization","0.25"
"this is so unfair I work harder than anyone","angry","emotional","none","0.4"
"I constantly worry about things that haven't even happened","neutral","overthinking","none","0.37"
"landing this deal would be huge and I think we've got it","excitement","confident","none","0.85"
"I'm probably going to blank out during the speech","fear","self-doubt","catastrophizing","0.28"
"I approach every challenge with a clear framework","neutral","logical","none","0.81"
"whenever anything goes wrong at home its because of me","sad","emotional","personalization","0.24"
"I am so done with people who never appreciate effort","angry","emotional","none","0.36"
"what if this trip is a total disaster","fear","overthinking","catastrophizing","0.26"
"I've researched the topic thoroughly and feel prepared","neutral","logical","none","0.83"
"omg just got accepted to my dream university","excitement","emotional","none","0.97"
"I think I'm not as talented as they think I am","sad","self-doubt","negative_bias","0.3"
"why do people always take advantage of me","angry","emotional","overgeneralization","0.32"
"I keep thinking I'll say something wrong and offend someone","fear","overthinking","none","0.29"
"this is the best idea I've had in years","happy","confident","none","0.9"
"I'm probably annoying everyone with my problems","sad","self-doubt","personalization","0.27"
"I've done this before and I can do it again","happy","confident","none","0.89"
"what if I lose all my savings in the market crash","fear","overthinking","catastrophizing","0.18"
"I logically assessed the risk and it's acceptable","neutral","logical","none","0.77"
"I hate how I always freeze under pressure","angry","self-doubt","overgeneralization","0.25"
"so hyped to finally launch the app we've been building","excitement","emotional","none","0.9"
"what if people think my presentation is a joke","fear","overthinking","catastrophizing","0.22"
"I understand my strengths and weaknesses clearly","neutral","logical","none","0.79"
"I've never been this excited about a project before","excitement","emotional","none","0.92"
"I feel like everything I do just makes things worse","sad","self-doubt","overgeneralization","0.2"
"this is complete rubbish and I'm furious about it","angry","emotional","none","0.37"
"maybe everything that went wrong is somehow my doing","sad","emotional","personalization","0.23"
"I absolutely thrive under pressure this is my moment","happy","confident","none","0.93"
"what if I never recover from this setback","fear","overthinking","catastrophizing","0.19"
"I trust the process and stay focused on execution","neutral","logical","none","0.82"
"ugh I'm so stupid sometimes I embarrass myself","sad","self-doubt","negative_bias","0.22"
"the entire meeting was a waste because of how I performed","sad","emotional","personalization","0.26"
"I have a detailed contingency plan for every scenario","neutral","logical","none","0.84"
"feeling absolutely on top of the world today","happy","confident","none","0.95"
"what if no one shows up to my event","fear","overthinking","catastrophizing","0.24"
"I never handle stress well I just fall apart","sad","self-doubt","overgeneralization","0.21"
"they made me look bad in front of the whole team unacceptable","angry","emotional","none","0.35"
"I keep wondering if people are judging me right now","neutral","overthinking","none","0.38"
"we hit every KPI this month the strategy is working","happy","logical","none","0.88"
"I'm clearly the problem in every relationship I have","sad","self-doubt","overgeneralization","0.19"
"what if this small cough turns into something fatal","fear","overthinking","catastrophizing","0.2"
"I evaluate situations calmly before reacting","neutral","logical","none","0.78"
"I am beyond excited I can barely sleep","excitement","emotional","none","0.93"
"everything I touch ends up breaking eventually","sad","self-doubt","overgeneralization","0.22"
"I'm furious that they got credit for my work","angry","emotional","none","0.39"
"what if everyone finds out I don't really know what I'm doing","fear","overthinking","catastrophizing","0.23"
"I have a proven track record and I trust myself","neutral","confident","none","0.86"
"the way things are going I'll probably end up alone","sad","overthinking","catastrophizing","0.24"
"I know what needs to be done and I'll get it done","neutral","confident","none","0.87"
"what if I make the wrong call and the whole project tanks","fear","overthinking","catastrophizing","0.21"
"some days I genuinely believe in myself","happy","confident","none","0.7"
"I've mapped out every dependency in the system","neutral","logical","none","0.8"
"I'm the luckiest person alive right now","happy","emotional","none","0.94"
"I always ruin good opportunities through my own stupidity","sad","self-doubt","overgeneralization","0.2"
"this is so frustrating nothing works the way it should","frustration","emotional","none","0.34"
"what if I freeze during the exam","fear","overthinking","catastrophizing","0.25"
"I've identified the root cause and have a solution ready","neutral","logical","none","0.83"
"my friends are probably getting tired of me","sad","overthinking","personalization","0.28"
"just closed the biggest deal of my career absolutely buzzing","excitement","confident","none","0.96"
"I think my ideas are never good enough","sad","self-doubt","negative_bias","0.27"
"nothing seems to go my way no matter how hard I try","sad","self-doubt","overgeneralization","0.21"
"this is absolutely outrageous behavior from management","angry","emotional","none","0.36"
"what if I disappoint everyone who believes in me","fear","overthinking","catastrophizing","0.22"
"I have clear values that guide my decisions","neutral","logical","none","0.81"
"I almost cried I was so happy when I heard the news","happy","emotional","none","0.93"
"I probably come across as weird to new people","sad","self-doubt","negative_bias","0.29"
"this broken system keeps costing us time and its maddening","frustration","emotional","none","0.33"
"what if this argument spirals into something irreparable","fear","overthinking","catastrophizing","0.23"
"the data supports my conclusion I'm confident in this","neutral","logical","none","0.84"
"i feel like im finally where i'm supposed to be","happy","emotional","none","0.88"
"I'm useless at anything that requires creativity","sad","self-doubt","overgeneralization","0.22"
"the process keeps failing and nobody seems to care","frustration","emotional","none","0.35"
"what if the diagnosis changes everything","fear","overthinking","catastrophizing","0.18"
"I've considered all options and made the best choice available","neutral","logical","none","0.82"
"I believe in myself and my team completely","happy","confident","none","0.91"
"I always come second never quite good enough","sad","self-doubt","overgeneralization","0.23"
"this is so infuriating I can't even articulate it","angry","emotional","none","0.34"
"what if I'm raising my kids completely wrong","fear","overthinking","catastrophizing","0.22"
"I'm methodical in how I approach new challenges","neutral","logical","none","0.79"
"just hit 10k followers so grateful and happy","happy","emotional","none","0.9"
"I doubt anyone really wants to hear my opinion","sad","self-doubt","negative_bias","0.27"
"why does every system I work with have to be so broken","frustration","emotional","overgeneralization","0.32"
"what if my partner is losing interest in me","fear","overthinking","catastrophizing","0.24"
"I rely on evidence to shape my decisions","neutral","logical","none","0.8"
"I haven't felt this excited in years wow","excitement","emotional","none","0.91"
"I feel like I disappoint everyone who counts on me","sad","self-doubt","overgeneralization","0.22"
"nobody ever appreciates what I bring to the table","angry","emotional","overgeneralization","0.33"
"what if my anxiety never gets better","fear","overthinking","catastrophizing","0.19"
"I broke down the problem into components and solved each one","neutral","logical","none","0.83"
"I'm genuinely proud of what we built together","happy","emotional","none","0.89"
"I'll probably trip over my words again like I always do","sad","self-doubt","overgeneralization","0.24"
"this constant back and forth is maddening and pointless","frustration","emotional","none","0.33"
"what if this opportunity never comes around again","fear","overthinking","catastrophizing","0.25"
"I maintain composure under high-pressure situations","neutral","confident","none","0.85"
"screaming internally because I just got the job offer","excitement","emotional","none","0.96"
"I think deep down I'm not a good person","sad","self-doubt","negative_bias","0.2"
"it's my fault she left I drove her away","sad","emotional","personalization","0.23"
"this is so pointlessly complicated it shouldn't be this hard","frustration","emotional","none","0.34"
"what if the feedback destroys my confidence entirely","fear","overthinking","catastrophizing","0.21"
"I have relevant skills and I will use them effectively","neutral","confident","none","0.84"
"today felt like everything clicked into place","happy","emotional","none","0.87"
"I'm not sure anyone truly gets me or cares to","sad","self-doubt","negative_bias","0.28"
"how is this still a problem after months of complaints","angry","emotional","none","0.37"
"I keep imagining all the ways this could go wrong tonight","fear","overthinking","catastrophizing","0.24"
"I look at problems objectively without panic","neutral","logical","none","0.8"
"I got the scholarship I can't believe it","excitement","emotional","none","0.97"
"I always freeze when things get difficult","sad","self-doubt","overgeneralization","0.22"
"it's not fair that they get praised while I get ignored","angry","emotional","personalization","0.34"
"what if my reputation never recovers from this","fear","overthinking","catastrophizing","0.2"
"I have a clear strategic vision for the next quarter","neutral","logical","none","0.82"
"feeling so grateful for everything in my life right now","happy","emotional","none","0.91"
"I probably sounded like an idiot in that meeting","sad","self-doubt","negative_bias","0.27"
"the bugs keep multiplying and no one is helping fix it","frustration","emotional","none","0.33"
"what if I've peaked and my best days are behind me","fear","overthinking","catastrophizing","0.22"
"I trust my judgment and act decisively","neutral","confident","none","0.86"
"we passed the inspection with zero issues amazing","happy","logical","none","0.88"
"I'm always the last one anyone thinks of","sad","emotional","personalization","0.25"
"I'm sick of repeating myself to people who don't listen","angry","emotional","none","0.36"
"what if this whole situation spirals completely out of my hands","fear","overthinking","catastrophizing","0.23"
"I evaluate trade-offs rationally before deciding","neutral","logical","none","0.81"
"the team is finally gelling and it shows in the results","happy","logical","none","0.87"
"I wonder if my contributions even matter to anyone","sad","self-doubt","negative_bias","0.3"
"this kind of inefficiency makes me want to flip a table","angry","emotional","none","0.35"
"what if I develop the same illness my parent had","fear","overthinking","catastrophizing","0.21"
"I adapt my strategy based on new information quickly","neutral","logical","none","0.82"
"feeling unstoppable right now nothing can slow me down","happy","confident","none","0.94"
"I'm definitely the weak link in this team","sad","self-doubt","negative_bias","0.22"
"they never follow through on anything as usual","angry","emotional","overgeneralization","0.34"
"what if I've already made too many mistakes to fix this","fear","overthinking","catastrophizing","0.2"
"I've broken this challenge into achievable steps","neutral","logical","none","0.8"
"I beamed when they announced my name as the winner","happy","emotional","none","0.95"
"maybe I'm just not likeable enough for people to stick around","sad","self-doubt","negative_bias","0.24"
"this endless loop of issues is absolutely exhausting","frustration","emotional","none","0.31"
"what if nobody reads the article I spent months on","fear","overthinking","catastrophizing","0.25"
"I approach new roles with confidence and a learning mindset","neutral","confident","none","0.84"
"just watched the sunrise and felt so alive","happy","emotional","none","0.86"
"I'll never be as good as the rest of them","sad","self-doubt","overgeneralization","0.21"
"the constant miscommunication is infuriating at this point","frustration","emotional","none","0.32"
"what if therapy doesn't actually help me","fear","overthinking","catastrophizing","0.24"
"I identify patterns efficiently and adjust my approach","neutral","logical","none","0.81"
"I can't stop smiling everything just feels right","happy","emotional","none","0.93"
"I'm the reason our group project suffered","sad","emotional","personalization","0.26"
"same excuses different day so tired of it","angry","emotional","none","0.35"
"what if people see through me and realize I'm a fraud","fear","overthinking","catastrophizing","0.22"
"I've built resilience over time and I trust that","neutral","confident","none","0.83"
"I got selected to speak at the conference super pumped","excitement","confident","none","0.91"
"I never really belong anywhere I go","sad","self-doubt","overgeneralization","0.2"
"this repeated failure from the same team is unacceptable","angry","emotional","none","0.36"
"what if starting this business was the biggest mistake of my life","fear","overthinking","catastrophizing","0.21"
"I look at the long-term picture and act accordingly","neutral","logical","none","0.8"
"I feel so seen and appreciated today","happy","emotional","none","0.9"
"I'll screw this up somehow I always do","sad","self-doubt","overgeneralization","0.21"
"every single thing about this process needs to change","frustration","emotional","overgeneralization","0.3"
"what if I can't make new friends in a new city","fear","overthinking","catastrophizing","0.24"
"I leverage my past experience to handle current challenges","neutral","confident","none","0.85"
"I finally feel like I know who I am and where I'm going","happy","confident","none","0.91"
"I probably come across as too intense for most people","sad","self-doubt","negative_bias","0.29"
"this is beyond frustrating no one is on the same page","frustration","emotional","none","0.31"
"what if I never reach my potential and just drift through life","fear","overthinking","catastrophizing","0.19"
"I use data to validate my assumptions before acting","neutral","logical","none","0.82"
"feeling so happy to have people in my life who get me","happy","emotional","none","0.9"
"I don't know why I even share my opinions nobody cares","sad","self-doubt","negative_bias","0.25"
"I'm fed up with always cleaning up other people's mess","angry","emotional","none","0.37"
"what if my health continues to deteriorate","fear","overthinking","catastrophizing","0.2"
"I take ownership of my decisions and their consequences","neutral","confident","none","0.83"
"we hit a personal best today really proud of the team","happy","confident","none","0.9"
"I feel like I'm always one step behind everyone else","sad","self-doubt","negative_bias","0.27"
"why is this so difficult for everyone to understand","frustration","emotional","none","0.33"
"what if the layoffs hit and I'm the first to go","fear","overthinking","catastrophizing","0.22"
"I have a structured approach that minimizes uncertainty","neutral","logical","none","0.81"
"this is honestly the best phase of my life so far","happy","emotional","none","0.92"
"people would probably be better off without me around","sad","self-doubt","negative_bias","0.18"
"this is the third time this month I'm genuinely furious","angry","emotional","none","0.36"
"what if no one ever truly loves me the way I need","fear","overthinking","catastrophizing","0.21"
"I make decisions grounded in reason not emotion","neutral","logical","none","0.8"
"first day at the new job and I already love it here","happy","emotional","none","0.88"
"I'm probably going to tank this client call","sad","self-doubt","catastrophizing","0.25"
"the system fails every peak hour this is unacceptable","frustration","emotional","none","0.32"
"what if all this hard work turns out to be meaningless","fear","overthinking","catastrophizing","0.22"
"I have the skills and preparation to succeed here","neutral","confident","none","0.85"
"this might be the biggest win I've ever had professionally","excitement","confident","none","0.93"
"I wonder if I'll ever stop feeling like an outsider","sad","self-doubt","overgeneralization","0.23"
"why does it always take three reminders for people to act","frustration","emotional","overgeneralization","0.31"
"what if I fail the certification and have to explain it","fear","overthinking","catastrophizing","0.24"
"I assess problems calmly and respond with precision","neutral","logical","none","0.82"
"I'm genuinely content right now like deeply at peace","happy","emotional","none","0.87"
"I must have done something wrong for them to ignore me like this","sad","emotional","personalization","0.26"
"every time I push for change nothing happens","frustration","emotional","overgeneralization","0.3"
"what if this investment drains everything we worked for","fear","overthinking","catastrophizing","0.19"
"I build strong relationships and I can rely on them","neutral","confident","none","0.83"
"I passed the board exam on my first attempt so proud","happy","confident","none","0.94"
"I think I'm just naturally worse than everyone else at this","sad","self-doubt","negative_bias","0.21"
"I keep going over the conversation to find what I did wrong","neutral","overthinking","personalization","0.35"
"what if the surgery doesn't go well","fear","overthinking","catastrophizing","0.19"
"I set realistic goals and consistently work toward them","neutral","logical","none","0.81"
"this new opportunity has me buzzing with excitement","excitement","emotional","none","0.91"
"I never say the right thing in social situations","sad","self-doubt","overgeneralization","0.22"
"I hate when processes are this disorganized it kills productivity","frustration","emotional","none","0.33"
"what if the team loses confidence in me after this","fear","overthinking","catastrophizing","0.23"
"I reflect on feedback constructively and adapt","neutral","logical","none","0.8"
"we got five-star reviews across the board today","happy","confident","none","0.91"
"I'll never be as confident as I pretend to be","sad","self-doubt","negative_bias","0.24"
"this broken workflow costs us hours every week","frustration","emotional","none","0.32"
"what if I lose my creativity after becoming a parent","fear","overthinking","catastrophizing","0.24"
"I identify opportunity in every setback I face","neutral","confident","none","0.84"
"my sister just had her baby I'm an aunt so overwhelmed with joy","happy","emotional","none","0.96"
"I don't think I'm built for this level of responsibility","sad","self-doubt","negative_bias","0.27"
"I keep thinking about whether I'm doing enough as a parent","neutral","overthinking","none","0.4"
"what if the deal falls through at the last minute","fear","overthinking","catastrophizing","0.22"
"I've consistently delivered strong results and I'll continue to","neutral","confident","none","0.86"
"today was just perfect in every single way","happy","emotional","none","0.94"
"I always manage to push people away eventually","sad","self-doubt","overgeneralization","0.2"
"this level of disorganization is actually making me angry now","angry","emotional","none","0.35"
"what if everything I've built falls apart in a year","fear","overthinking","catastrophizing","0.21"
"I stay calm in ambiguous situations and think clearly","neutral","logical","none","0.81"
"we pulled off something incredible as a team today","happy","confident","none","0.92"
"I sometimes wonder if I've ever truly made anyone proud","sad","self-doubt","negative_bias","0.28"
"the repeated delays are costing us client trust","frustration","logical","none","0.55"
"what if the move to a new city was a terrible mistake","fear","overthinking","catastrophizing","0.22"
"I have clarity on my purpose and it motivates me daily","neutral","confident","none","0.85"
"just booked my solo trip I'm terrified and thrilled","excitement","emotional","none","0.82"
"I'll probably just embarrass myself like I usually do","sad","self-doubt","overgeneralization","0.21"
"I cant believe they took credit for my idea","angry","emotional","personalization","0.36"
"what if my depression comes back after feeling this good","fear","overthinking","catastrophizing","0.23"
"I draw on past experience to navigate new challenges","neutral","logical","none","0.8"
"I feel like the best version of myself right now","happy","confident","none","0.92"
"no one ever tells me what's really going on I'm always excluded","sad","emotional","personalization","0.27"
"I'm so over dealing with this same recurring issue","frustration","emotional","none","0.32"
"what if my startup idea is laughed at by investors","fear","overthinking","catastrophizing","0.21"
"I set clear boundaries and communicate them effectively","neutral","confident","none","0.83"
"I've never felt more aligned with my life choices","happy","confident","none","0.91"
"I genuinely dont know why I keep trying","sad","self-doubt","negative_bias","0.2"
"this situation is making me irrationally irritated but here we are","angry","emotional","none","0.33"
"what if I get rejected from every grad school","fear","overthinking","catastrophizing","0.22"
"I approach each new problem with curiosity and structure","neutral","logical","none","0.8"
"just finished my first marathon I can't believe I actually did it","excitement","confident","none","0.95"
"I never stick to anything long enough to get good at it","sad","self-doubt","overgeneralization","0.22"
"this is a total waste of everyone's time and resources","frustration","emotional","none","0.31"
"what if I'm just not emotionally intelligent enough to lead","fear","overthinking","catastrophizing","0.23"
"I know the outcome I want and I have a roadmap to get there","neutral","confident","none","0.86"
"this collab is going so well better than I ever imagined","happy","emotional","none","0.9"
"I tend to disappear when things get hard for people around me","sad","self-doubt","personalization","0.26"
"nobody takes my concerns seriously as always","angry","emotional","overgeneralization","0.33"
"what if the hardest part of this project is still ahead","fear","overthinking","none","0.38"
"I document my decisions so I can review and improve them","neutral","logical","none","0.8"
"receiving the standing ovation was a moment I'll never forget","happy","emotional","none","0.95"
"I probably work twice as hard for half the recognition","sad","self-doubt","personalization","0.28"
"this meeting could have been a two-line email again","frustration","emotional","none","0.32"
"what if I've chosen a field I'm not suited for","fear","overthinking","catastrophizing","0.21"
"I measure success by progress not perfection","neutral","logical","none","0.8"
"waking up early and being productive is seriously the best feeling","happy","confident","none","0.86"
"I wonder if people actually enjoy spending time with me","sad","self-doubt","negative_bias","0.28"
"I'm absolutely fed up with empty promises from leadership","angry","emotional","none","0.35"
"what if I never get past this block in my writing","fear","overthinking","catastrophizing","0.24"
"I build on strengths while working on blind spots","neutral","logical","none","0.81"
"my business hit its revenue target three months early","excitement","confident","none","0.94"
"I feel out of depth whenever I'm around smart people","sad","self-doubt","negative_bias","0.25"
"the constant fire-fighting mode we're in is unsustainable","frustration","logical","none","0.55"
"what if this is just who I am and I can't change","fear","overthinking","catastrophizing","0.2"
"I communicate my expectations clearly and consistently","neutral","confident","none","0.83"
"I'm bubbling with joy today was everything","happy","emotional","none","0.93"
"I don't think I'm cut out for long-term relationships","sad","self-doubt","overgeneralization","0.22"
"I'm fuming because they changed the plan without telling me","angry","emotional","none","0.36"
"what if no one reads my work and I've wasted years","fear","overthinking","catastrophizing","0.22"
"I set SMART goals and track my progress rigorously","neutral","logical","none","0.82"
"wow I genuinely love what I do for a living","happy","confident","none","0.9"
"I feel like a fraud every single day at work","sad","self-doubt","negative_bias","0.23"
"yet another deadline pushed because of someone else's delay","frustration","emotional","none","0.31"
"what if I lose the ability to trust people again","fear","overthinking","catastrophizing","0.21"
"I handle conflict with clarity and without losing my cool","neutral","confident","none","0.83"
