text,emotion
"To be honest, I made a list of things I need to get done this week. I'll figure it out.",Normal
Every little thing today felt magical and full of possibility. I'm still processing everything.,Happy
"I just realized the manager really crossed the line this time, I'm livid. I'm still processing everything.",Anger
"Thinking about it now, I feel so grateful and blessed to have my mother in my life. Life goes on, I suppose.",Happy
"Right now, I feel so empty and hollow inside after what happened. Life goes on, I suppose.",Sad
I am not miserable.,Normal
"Thinking about it now, my friend made me laugh so hard today, I love spending time together.",Happy
"I updated my schedule and moved a few tasks around. Life goes on, I suppose.",Normal
"To be honest, I feel utterly alone and abandoned by everyone around me. It's just too much.",Sad
"At this point, I confronted the manager about this because enough is enough. Life goes on, I suppose.",Anger
I feel no happiness.,Sad
"Looking back, This whole the game is a disaster and I'm absolutely fuming. I'm still processing everything.",Anger
I am fantastically happy.,Happy
"Honestly, I shared the good news with my father and we celebrated together. I don't know what to do.",Happy
"Right now, Getting the trip was a dream come true, I'm overjoyed. It is what it is.",Happy
I cooked a perfect meal from scratch for the first time.,Happy
I am uncontrollably angry.,Anger
Why do I feel so great?,Happy
"At this point, I can't stand how they always acts so unacceptable. I needed to get that off my chest.",Anger
I am beyond furious.,Anger
"Right now, I've been grieving this loss for weeks and it hasn't gotten easier. I needed to get that off my chest.",Sad
I am devastated.,Sad
I always knew that The loneliness after school is something I wasn't prepared for. Just needed to share this.,Sad
"I just realized the manager really crossed the line this time, I'm livid. Life goes on, I suppose.",Anger
"Honestly, I've been grieving this loss for weeks and it hasn't gotten easier. I needed to get that off my chest.",Sad
I am bubbling with joy.,Happy
"To be honest, Waking up this morning I felt pure joy for the first time in ages. Life goes on, I suppose.",Happy
"I have to say, The grief I feel from the deadline is overwhelming me. And that's just how it is.",Sad
I feel unremarkable.,Normal
"Honestly, I feel like a part of me died when the exam happened. It's just too much.",Sad
my teacher never listens and it drives me absolutely insane.,Anger
"Right now, The loneliness after the results is something I wasn't prepared for. I needed to get that off my chest.",Sad
"At this point, Things at the exam have been going pretty smoothly lately. Just needed to share this.",Normal
I can't stand how she always acts so disrespectful. I don't know what to do.,Anger
I am weeping.,Sad
I threw my phone across the room.,Anger
I'm beaming with pride over what I accomplished with the conference. I don't know what to do.,Happy
I am completely livid.,Anger
"I'm feeling pretty neutral right now — not great, not bad, just a steady calm kind of okay.",Normal
"Right now, I'm so mad I haven't been able to sleep thinking about the project.",Anger
I woke up at my usual time and started the day normally. I'll figure it out.,Normal
I am just alright.,Normal
"Thinking about it now, I feel like a part of me died when the situation happened. It's just too much.",Sad
I am overwhelmingly happy.,Happy
"I have to say, I feel so lucky to experience this kind of happiness right now.",Happy
"I just realized Nothing out of the ordinary happened today, just regular tasks.",Normal
"Looking back, I feel hopeless and don't know how things will ever get better. I don't know what to do.",Sad
"Honestly, Today marks the happiest day of my life because of the results. I'll figure it out.",Happy
I feel depressed.,Sad
"I have to say, I've been crying all day thinking about the exam. Life goes on, I suppose.",Sad
"Looking back, I'm not overreacting, my coworker genuinely behaved terrible. Just needed to share this.",Anger
My heart aches deeply and I don't know how to stop the pain.,Sad
I keep reaching for my phone to call my father and then remember. Just needed to share this.,Sad
I need to vent — Thinking about the exam fills me with an indescribable sadness. And that's just how it is.,Sad
"I'm so happy I feel like I could burst, this is incredible!",Happy
I am just being.,Normal
"I have to say, I just sat in the dark, too sad to move or do anything. I'll figure it out.",Sad
"At this point, I can't stand how they always acts so absurd.",Anger
No one told me but I made some coffee and started going through my emails. I needed to get that off my chest.,Normal
"Right now, The weather was pretty average today, not too hot or cold.",Normal
"I need to vent — I'm so happy I feel like I could burst, this is incredible!",Happy
This is infuriating.,Anger
Nothing is bringing me down.,Happy
"At this point, My heart aches deeply and I don't know how to stop the pain. It is what it is.",Sad
my neighbor surprised me today and I couldn't stop smiling all day. It is what it is.,Happy
"Looking back, my sister told me they love me and I felt like I was floating.",Happy
I am calm.,Normal
I need to vent — The injustice of this the meeting makes me want to scream. I'll figure it out.,Anger
I need to vent — Waking up this morning I felt pure joy for the first time in ages. And that's just how it is.,Happy
"I have to say, I'm so frustrated with school, it makes my blood boil. Life goes on, I suppose.",Anger
I always knew that I'm so angry I can barely think straight right now. It is what it is.,Anger
I feel decent.,Normal
"Right now, the manager sent a routine update and I acknowledged it.",Normal
my mentor sent a routine update and I acknowledged it. And that's just how it is.,Normal
"At this point, The loneliness after the competition is something I wasn't prepared for. Just needed to share this.",Sad
"Stop it, I'm angry.",Anger
My patience has completely run out with this the event. Just needed to share this.,Anger
"To be honest, Waking up this morning I felt pure joy for the first time in ages. Life goes on, I suppose.",Happy
"At this point, The way my mentor handled the decision was completely unacceptable. It is what it is.",Anger
"I have to say, Today was such a wonderful day, everything went perfectly. I don't know what to do.",Happy
"Honestly, my coworker mentioned they might drop by later this week.",Normal
I just realized I feel content and at peace with where my life is right now.,Happy
Waking up this morning I felt pure joy for the first time in ages. It is what it is.,Happy
I am not really angry.,Normal
I always knew that Everything is falling into place and I couldn't be more grateful.,Happy
"Right now, I prepared a simple meal and watched some television.",Normal
I keep grinning to myself thinking about how well the process went. I don't know what to do.,Happy
No one told me but my father called me this afternoon and we talked for a while. It is what it is.,Normal
I just realized I took the usual route to school this morning. I'll figure it out.,Normal
I need to vent — Everything reminds me of my mentor and the pain comes flooding back.,Sad
"Honestly, the doctor left without saying goodbye and it broke me. I'll figure it out.",Sad
I am not okay.,Sad
"Honestly, This whole the project is a disaster and I'm absolutely fuming. It's just too much.",Anger
"Honestly, My patience has completely run out with this the results. Just needed to share this.",Anger
I just realized I feel content and at peace with where my life is right now. I needed to get that off my chest.,Happy
"At this point, my roommate mentioned they might drop by later this week. It's just too much.",Normal
I need to vent — Seeing my roommate's belongings just makes the sadness worse.,Sad
I always knew that I don't feel like eating or talking to anyone right now.,Sad
"Looking back, the outcome turned out even better than I ever imagined it would. And that's just how it is.",Happy
Nothing is okay.,Sad
"Right now, I'm done tolerating this kind of behavior from my supervisor. And that's just how it is.",Anger
I am filled with sadness.,Sad
"We had a standard team meeting to go over the week's tasks. Life goes on, I suppose.",Normal
"I have to say, The joy I feel from the outcome is something I'll never forget. Life goes on, I suppose.",Happy
"I am not great, not bad.",Normal
No one told me but I spent the afternoon organizing some files on my computer. And that's just how it is.,Normal
I am livid.,Anger
"I have to say, I danced around the room when I heard the amazing news. I don't know what to do.",Happy
I'm losing my temper.,Anger
I am deeply content.,Happy
"At this point, I'm beaming with pride over what I accomplished with the game. And that's just how it is.",Happy
"I always knew that I grabbed lunch and worked through some pending items. Life goes on, I suppose.",Normal
"Honestly, I got the the trip I've been working towards and I'm ecstatic! It is what it is.",Happy
"I have to say, Waking up this morning I felt pure joy for the first time in ages.",Happy
No one told me but The day ended without any major issues or surprises. I don't know what to do.,Normal
I feel hollow.,Sad
"At this point, My eyes are swollen from all the crying I've done this week. I'm still processing everything.",Sad
I just realized Things at the conference have been going pretty smoothly lately. It's just too much.,Normal
"At this point, I spent the afternoon organizing some files on my computer. I don't know what to do.",Normal
I am just doing my thing.,Normal
"At this point, I cried myself to sleep again last night because of the outcome. I'll figure it out.",Sad
I need to vent — I made a list of things I need to get done this week. Just needed to share this.,Normal
"I need to vent — Life feels so beautiful and full of possibilities right now. Life goes on, I suppose.",Happy
I need to vent — I got the the exam I've been working towards and I'm ecstatic! I needed to get that off my chest.,Happy
Why does this always make me so angry?,Anger
My anger is through the roof.,Anger
"Honestly, Today reminded me how much beauty there is in everyday moments. And that's just how it is.",Happy
"I always knew that I talked briefly with my coworker about the upcoming plans. Life goes on, I suppose.",Normal
I always knew that I checked in with my partner and everything seems to be in order. Just needed to share this.,Normal
I can't stand this.,Anger
I yelled because I couldn't contain my frustration anymore. It's just too much.,Anger
"No one told me but my mother really crossed the line this time, I'm livid. Just needed to share this.",Anger
"I have to say, I updated my schedule and moved a few tasks around. Just needed to share this.",Normal
"Somehow, I'm beaming with pride over what I accomplished with the situation. And that's just how it is.",Happy
I am not happy at all.,Anger
I am absolutely happy.,Happy
I feel deep sadness.,Sad
I need to vent — I replied to some messages and scheduled a few meetings. I'm still processing everything.,Normal
"I woke up healthy, loved, and with a roof over my head — I'm grateful.",Happy
"I have to say, Thinking about the proposal fills me with an indescribable sadness. And that's just how it is.",Sad
I feel so sad today.,Sad
I feel like a part of me died when the competition happened.,Sad
"The weather was pretty average today, not too hot or cold. Life goes on, I suppose.",Normal
I can't stand this.,Anger
The day ended without any major issues or surprises. And that's just how it is.,Normal
I woke up at my usual time and started the day normally. Just needed to share this.,Normal
I always knew that I shared the good news with he and we celebrated together. I don't know what to do.,Happy
"Thinking about it now, This is absolutely reckless, I'm so furious right now. I'll figure it out.",Anger
"At this point, I hugged my friend tight and felt so much love and warmth. I'm still processing everything.",Happy
"To be honest, I feel content and at peace with where my life is right now. I don't know what to do.",Happy
I feel down.,Sad
"At this point, Today marks the happiest day of my life because of the game. I'm still processing everything.",Happy
I always knew that I grabbed lunch and worked through some pending items. It is what it is.,Normal
No one told me but The loneliness after school is something I wasn't prepared for. It's just too much.,Sad
